Item Id,Item Name,Price,Sales,Nome da loja,Commission Rate,Commission,Product Link,Offer Link
18199332587,"Chaleira Elétrica Inox 1,8L Agratto 127v e 220v","69,90",8mil+,QueroObra,38%,"R$26,56",https://shopee.com.br/product/563110312/18199332587,https://s.shopee.com.br/7AbdwpCNIs
58205214274,Ventilador de Mesa 40 cm 10 Pás com 3 Velocidades Ventisol Turbo 10,"149,90",76,QueroObra,48%,"R$71,95",https://shopee.com.br/product/563110312/58205214274,https://s.shopee.com.br/70IDkWD0dr
20598894793,2024 Nova Série 8 Relógio Esportivo Sem Fio À Prova D'água Ultra Smart,"42,99",10mil+,longking.br,13%,"R$5,59",https://shopee.com.br/product/778770826/20598894793,https://s.shopee.com.br/3LOvNmQy5A
22893938211,Kit 2x Fone de Ouvido Sem Fio Bluetooth TWS 5.0 Gamer Note 11 12 T Pro 13 Pro 14 5G,"59,30",1mil+,Fech Tech,"19,5%","R$11,27",https://shopee.com.br/product/1517427533/22893938211,https://s.shopee.com.br/3ViLa5QKkD
23893965494,Kit Café Manhã Chaleira Elétrica + Sanduicheira 127v ou 220v - Kian,"159,90",235,QueroObra,38%,"R$60,76",https://shopee.com.br/product/563110312/23893965494,https://s.shopee.com.br/3g1lmOPhPG
58259634689,Camiseta Masculina Blusa Brasil 8 T-shirt Verão Manga Curta Camisa Algodão Premium,"20,90",973,Vision Mode,23%,"R$4,81",https://shopee.com.br/product/1604589465/58259634689,https://s.shopee.com.br/3qLByhP44J
58254097400,Ventilador Aromatizador Luminária 25w 5 Folhas Grande de Teto Silencioso Controle Remoto E27 Bivolt,"59,90",212,QueroObra,48%,"R$28,75",https://shopee.com.br/product/563110312/58254097400,https://s.shopee.com.br/2g9EaYTVR6
23997821333,Calça Legging Bolha e Lisa Suplex Cós Alto Empina Bumbum Fitness Suplex 3D Legue Textura Flocada Academia Cintura alta,"24,75",20mil+,RDK Group,33%,"R$8,17",https://shopee.com.br/product/341670128/23997821333,https://s.shopee.com.br/2qSemrSs69
23198352985,Omeleteira Agratto Mr Cheff Inox Redonda 220v,"103,99",1mil+,QueroObra,38%,"R$39,52",https://shopee.com.br/product/563110312/23198352985,https://s.shopee.com.br/30m4zASElC
22699350558,Porta Temperos Condimentos Giratório 9 Potes Organizador Potes Vidro Tampa Profissional,"39,80",5mil+,We Utilidades,23%,"R$9,15",https://shopee.com.br/product/1003351624/22699350558,https://s.shopee.com.br/3B5VBTRbQF
58261581185,Espelho Grande Com Led 3 Cores e Botão Touch Jateado 90x40 Banheiro Quarto Sala Entrega Rapida,"199,89",7,Bonck Glass,28%,"R$55,97",https://shopee.com.br/product/924089620/58261581185,https://s.shopee.com.br/4fuIyELtNY
22392814689,Conjunto Feminino Academia Suplex Poliamida Top e Short Com Elástico No Cós AVA Fitness,"67,90",30mil+,AVA Fitness Wear,23%,"R$15,62",https://shopee.com.br/product/1024306960/22392814689,https://s.shopee.com.br/4qDjAXLG2b
